"state","year","median.house.price","upper.house.price","divorce.percent","separate.percent","highschool.percent","bachelor.percent","median.income","mean.income"
"Alabama",2006,"107000","174900","12.0","2.6","80.1","21.1","38783","53017"
"Alabama",2007,"115600","187700","11.8","2.4","80.4","21.4","40554","55552"
"Alabama",2008,"121500","200600","12.0","2.5","81.9","22","42666","57957"
"Alabama",2009,"119600","197200","12.0","2.8","82.1","22","40489","55543"
"Alabama",2010,"123900","202300","12.6","2.8","82.1","21.9","40474","55778"
"Alabama",2011,"122700","197800","12.4","2.7","82.7","22.3","41415","57208"
"Alabama",2012,"123200","200300","12.7","2.5","84.0","23.3","41574","57372"
"Alabama",2013,"122700","200500","12.5","2.6","84.5","23.5","42849","59294"
"Alabama",2014,"125600","207100","12.5","2.5","84.7","23.5","42830","59464"
"Alabama",2015,"134100","219600","12.6","2.5","84.9","24.2","44765","62307"
"Alaska",2006,"213200","301900","11.0","1.6","89.7","26.9","59393","73358"
"Alaska",2007,"231300","331500","11.5","2.0","90.5","26","64333","78765"
"Alaska",2008,"237800","337100","12.4","2.3","91.6","27.3","68460","83423"
"Alaska",2009,"232900","319700","11.7","2.1","91.4","26.6","66953","81471"
"Alaska",2010,"241400","335200","12.5","2.1","91.0","27.9","64576","81290"
"Alaska",2011,"238300","337800","12.4","2.1","91.8","26.4","67825","82665"
"Alaska",2012,"245100","338700","12.4","2.0","92.0","28.0","67712","84738"
"Alaska",2013,"254000","349800","10.8","1.7","91.6","28.0","72237","88758"
"Alaska",2014,"254500","349400","11.8","1.8","92.9","28.0","71583","89094"
"Alaska",2015,"259600","362700","11.5","2.0","92.6","29.7","73355","92876"
"Arizona",2006,"236500","376100","11.8","2.0","83.8","25.5","47265","64021"
"Arizona",2007,"237700","372700","12.4","1.9","83.5","25.3","49889","66132"
"Arizona",2008,"229200","349800","12.3","1.9","83.8","25.1","50958","68066"
"Arizona",2009,"187700","294700","12.2","1.9","84.2","25.6","48745","64591"
"Arizona",2010,"168800","270500","12.1","1.8","85.6","25.9","46789","62838"
"Arizona",2011,"153800","249500","12.6","2.0","85.7","26.6","46709","62927"
"Arizona",2012,"151500","251700","12.5","2.0","85.7","27.3","47826","64841"
"Arizona",2013,"166000","271900","12.5","1.9","85.9","27.4","48510","66389"
"Arizona",2014,"176700","291500","12.3","1.8","86.1","27.6","50068","68103"
"Arizona",2015,"194300","308400","12.8","1.7","86.1","27.7","51492","70638"
"Arkansas",2006,"93900","154300","12.4","2.4","80.5","18.2","36599","49322"
"Arkansas",2007,"101000","166200","11.8","2.4","81.1","19.3","38134","51748"
"Arkansas",2008,"105700","170700","12.5","2.4","82","18.8","38815","52592"
"Arkansas",2009,"102900","168200","12.6","2.6","82.4","18.9","37823","51324"
"Arkansas",2010,"106300","170700","12.8","2.6","82.9","19.5","38307","52382"
"Arkansas",2011,"106300","172500","13.4","2.4","83.8","20.3","38758","53204"
"Arkansas",2012,"107600","174300","13.3","2.3","84.8","21.0","40112","54116"
"Arkansas",2013,"109500","174000","13.3","2.3","84.4","20.6","40511","55547"
"Arkansas",2014,"112500","178700","12.9","2.5","85.3","21.4","41262","57693"
"Arkansas",2015,"120700","191200","13.2","2.1","85.4","21.8","41995","59275"
"California",2006,"535700","742700","9.6","2.5","80.1","29","56645","77386"
"California",2007,"532300","744000","9.5","2.5","80.2","29.5","59948","81939"
"California",2008,"467000","708800","9.7","2.3","80.2","29.6","61021","84275"
"California",2009,"384200","635100","9.6","2.3","80.6","29.9","58931","80819"
"California",2010,"370900","621100","9.6","2.3","80.7","30.1","57708","79465"
"California",2011,"355600","597500","9.7","2.4","81.1","30.3","57287","80848"
"California",2012,"349400","587600","9.8","2.4","81.5","30.9","58328","82159"
"California",2013,"373100","629000","9.7","2.3","81.7","31.0","60190","85707"
"California",2014,"412700","677300","9.6","2.2","82.1","31.7","61933","88595"
"California",2015,"449100","715500","9.5","2.2","82.2","32.3","64500","91757"
"Colorado",2006,"232900","351100","11.5","1.8","88","34.3","52015","69334"
"Colorado",2007,"233900","358600","12.3","1.7","88.9","35","55212","73037"
"Colorado",2008,"242200","369600","11.9","1.7","88.9","35.6","56993","76462"
"Colorado",2009,"237800","360900","11.3","1.7","89.3","35.9","55430","73605"
"Colorado",2010,"236600","359700","11.8","1.8","89.7","36.4","54046","72423"
"Colorado",2011,"233700","352900","11.9","1.7","90.2","36.7","55387","74852"
"Colorado",2012,"234900","357200","12.4","1.7","90.6","37.5","56765","76489"
"Colorado",2013,"240500","366000","12.2","1.6","90.5","37.8","58823","79381"
"Colorado",2014,"255200","383800","12.2","1.6","90.5","38.3","61303","82295"
"Colorado",2015,"283800","417000","12.0","1.4","91.2","39.2","63909","85915"
"Connecticut",2006,"298900","453500","9.6","1.6","88","33.7","63422","87856"
"Connecticut",2007,"309200","460700","9.6","1.5","88","34.7","65967","92686"
"Connecticut",2008,"306000","456900","10.0","1.4","88.6","35.6","68595","95881"
"Connecticut",2009,"291200","436300","10.4","1.5","88.6","35.6","67034","92807"
"Connecticut",2010,"288800","425800","10.9","1.5","88.6","35.5","64032","90074"
"Connecticut",2011,"278700","413200","10.7","1.6","89.1","36.2","65753","92248"
"Connecticut",2012,"267800","393600","10.6","1.4","89.9","37.1","67276","94796"
"Connecticut",2013,"267000","399000","10.8","1.3","89.7","37.2","67098","97801"
"Connecticut",2014,"267200","397400","11.1","1.2","90.1","38.0","70048","100948"
"Connecticut",2015,"270900","408600","10.7","1.3","90.2","38.3","71346","101347"
"Delaware",2006,"227100","347800","10.9","2.4","85.5","27","52833","68473"
"Delaware",2007,"239700","361700","10.3","1.6","87.4","26.1","54610","71070"
"Delaware",2008,"250900","359700","10.9","1.7","87.2","27.5","57989","75833"
"Delaware",2009,"249400","348600","10.9","2.2","87.4","28.7","56860","73308"
"Delaware",2010,"243600","347500","10.8","2.0","87.7","27.8","55847","72550"
"Delaware",2011,"236900","335000","11.3","1.9","87.0","28.8","58814","76400"
"Delaware",2012,"226900","316400","11.8","2.0","88.5","29.5","58415","74460"
"Delaware",2013,"226200","325100","11.7","1.8","88.3","29.8","57846","76995"
"Delaware",2014,"230500","334700","12.2","1.5","89.0","30.6","59716","78773"
"Delaware",2015,"240200","344700","11.2","1.7","88.9","30.9","61255","81120"
"District of Columbia",2006,"437700","701700","9.0","3.4","84.3","45.9","51847","81991"
"District of Columbia",2007,"450900","721200","9.7","3.7","85.7","47.5","54317","88335"
"District of Columbia",2008,"474100","727100","10.0","3.0","85.8","48.2","57936","93118"
"District of Columbia",2009,"443700","715300","9.8","2.9","87.1","48.5","59290","92068"
"District of Columbia",2010,"426900","712700","9.7","2.8","87.4","50.1","60903","92959"
"District of Columbia",2011,"422400","721800","9.4","2.4","87.2","52.5","63124","98177"
"District of Columbia",2012,"460700","734100","9.2","2.1","88.6","53.0","66583","102160"
"District of Columbia",2013,"470500","776200","10.0","2.5","90.1","55.1","67572","102882"
"District of Columbia",2014,"486900","771500","9.0","2.5","90.2","55.0","71648","103525"
"District of Columbia",2015,"551300","852700","8.8","2.2","89.8","56.7","75628","114600"
"Florida",2006,"230600","372600","12.0","2.4","84.5","25.3","45495","62637"
"Florida",2007,"230400","367900","12.3","2.3","84.9","25.8","47804","66414"
"Florida",2008,"218700","337900","12.4","2.4","85.2","25.8","47778","66493"
"Florida",2009,"182400","288200","12.5","2.4","85.3","25.3","44736","62441"
"Florida",2010,"164200","264400","13.1","2.6","85.5","25.8","44409","61877"
"Florida",2011,"151000","246800","12.9","2.6","85.9","25.8","44299","63006"
"Florida",2012,"148200","243600","13.2","2.5","86.5","26.8","45040","64229"
"Florida",2013,"153300","256100","13.1","2.5","86.8","27.2","46036","65728"
"Florida",2014,"162700","273300","13.0","2.4","87.2","27.3","47463","67510"
"Florida",2015,"179800","298000","13.2","2.4","87.6","28.4","49426","70462"
